"year","doy","annual_total"
1990,188,1036.066
1991,234,581.152
1992,192,1107.44
1993,192,835.152
1994,246,461.01
1995,223,327.406
1996,181,475.996
1997,163,504.952
1998,186,1014.984
1999,186,514.096
2000,169,660.908
2001,173,579.882
2002,195,458.724
2003,192,757.936
2004,196,855.98
2005,199,708.914
2006,186,773.938
2007,162,953.008
2008,183,1214.882
2009,184,488.696
2010,195,905.002
2011,186,720.852
2012,186,420.116
2013,183,846.074
2014,184,975.106
2015,160,1487.424
2016,181,1018.794
2017,192,721.614
2018,166,1076.96
2019,203,1117.6
2020,198,508
2021,181,1352.55
2022,169,1241.806
