"A","B","C","D","Yield","replicate"
-1,-1,-1,-1,90,"I"
-1,-1,-1,-1,93,"II"
1,-1,-1,-1,74,"I"
1,-1,-1,-1,78,"II"
-1,1,-1,-1,81,"I"
-1,1,-1,-1,85,"II"
1,1,-1,-1,83,"I"
1,1,-1,-1,80,"II"
-1,-1,1,-1,77,"I"
-1,-1,1,-1,78,"II"
1,-1,1,-1,81,"I"
1,-1,1,-1,80,"II"
-1,1,1,-1,88,"I"
-1,1,1,-1,82,"II"
1,1,1,-1,73,"I"
1,1,1,-1,70,"II"
-1,-1,-1,1,98,"I"
-1,-1,-1,1,95,"II"
1,-1,-1,1,72,"I"
1,-1,-1,1,76,"II"
-1,1,-1,1,87,"I"
-1,1,-1,1,83,"II"
1,1,-1,1,85,"I"
1,1,-1,1,86,"II"
-1,-1,1,1,99,"I"
-1,-1,1,1,90,"II"
1,-1,1,1,79,"I"
1,-1,1,1,75,"II"
-1,1,1,1,87,"I"
-1,1,1,1,84,"II"
1,1,1,1,80,"I"
1,1,1,1,80,"II"
